T_degC,Salnty
3.670000,34.32100
3.480000,34.34200
3.280000,34.36300
3.080000,34.38500
2.880000,34.40800
2.780000,34.42000
12.50000,33.17000
12.66000,33.24000
12.66000,33.21200
12.64000,33.05700
12.64000,33.04000
12.64000,33.06800
12.64000,33.17000
12.64000,33.15900
12.63000,33.13000
12.64000,33.15800
12.66000,33.22000
12.52000,33.28300
11.94000,33.38300
11.77000,33.40000
10.84000,33.42000
9.730000,33.44000
8.900000,33.51800
7.750000,33.67200
8.160000,33.86000
7.030000,33.82800
6.760000,33.95000
6.070000,33.93200
5.210000,33.94200
5.120000,33.80000
4.710000,33.99600
4.380000,34.08600
4.280000,34.14000
4.140000,34.16600
3.890000,34.21700
3.630000,34.26800
3.370000,34.32000
3.110000,34.37400
3.080000,34.38000
12.20000,33.13000
12.22000,32.92000
12.22000,32.90000
12.23000,32.84000
12.23000,32.84200
12.23000,32.85800
12.23000,
12.21000,32.89100
12.20000,32.90000
12.24000,33.04000
12.25000,33.04200
12.49000,33.09600
12.60000,33.12000
11.74000,33.16400
9.910000,33.29300
9.830000,33.30000
8.300000,33.66000
8.060000,33.77000
7.610000,33.87400
7.210000,33.93000
7.100000,33.93400
5.930000,33.93400
5.490000,33.91000
5.130000,33.93600
4.670000,33.99300
4.440000,34.05000
4.390000,34.06100
4.110000,34.12000
3.840000,34.17900
3.560000,34.24000
3.520000,34.25000
12.00000,32.97000
8.860000,32.94000
12.00000,32.94000
11.99000,32.94000
11.99000,32.94000
11.99000,32.96300
12.00000,33.01000
11.95000,33.00000
11.70000,32.95000
11.57000,32.98300
11.20000,33.08000
10.67000,33.15000
9.360000,33.35600
8.880000,33.44000
8.560000,33.58500
8.310000,33.78000
7.980000,33.80600
7.380000,33.95200
6.860000,33.94600
6.680000,33.98000
5.940000,33.98000
5.340000,33.98000
5.220000,33.99600
4.730000,34.08200
4.370000,34.18000
4.320000,34.20000
4.110000,34.22900
3.840000,34.26600
3.580000,34.30400
3.320000,34.34300
3.200000,34.36000
11.70000,32.88000
11.62000,32.84000
11.61000,32.84000
11.58000,32.84000
11.58000,32.83800
11.58000,32.82100
11.58000,32.81000
11.56000,32.84700
11.54000,32.88000
11.31000,32.82700
11.23000,32.81000
10.82000,32.93600
10.36000,33.12000
10.21000,33.14700
9.490000,33.28400
9.160000,33.35000
8.710000,33.66500
8.490000,33.95000
8.390000,33.95100
7.910000,33.95700
7.660000,33.96000
6.990000,34.03000
6.240000,34.13000
6.170000,34.13400
5.480000,34.16600
4.890000,34.18000
4.720000,34.18000
4.530000,34.19800
4.230000,34.22600
3.940000,34.25500
3.650000,34.28500
3.420000,34.31000
11.50000,32.77000
11.50000,32.84000
11.50000,32.84300
11.50000,32.85800
11.50000,32.86000
11.52000,32.81000
11.53000,32.75000
11.49000,32.76900
11.42000,32.83000
11.40000,32.90800
11.37000,32.95000
11.13000,32.98300
10.63000,33.04000
10.56000,33.05800
9.730000,33.30200
9.170000,33.49000
8.660000,33.70600
8.280000,33.89000
8.250000,33.89800
7.780000,33.99400
7.550000,34.02000
6.930000,34.08900
6.300000,34.13000
6.160000,34.13100
5.480000,34.13000
4.900000,34.13100
4.800000,34.13000
4.550000,34.18700
4.240000,34.25800
3.930000,34.33200
3.630000,34.40600
3.570000,34.42000
11.40000,32.95000
11.38000,32.90000
11.38000,32.89600
11.39000,32.86400
11.39000,32.86000
11.39000,32.86000
11.40000,32.86000
11.35000,32.84600
11.23000,32.81000
11.35000,32.86600
11.49000,33.01000
11.07000,33.08700
9.790000,33.28600
9.190000,33.37000
8.870000,33.49500
8.560000,33.69000
8.240000,33.78800
7.610000,33.93600
7.530000,33.57000
6.930000,34.00500
6.340000,34.00000
5.870000,34.05000
5.280000,34.10500
5.200000,34.11000
4.800000,34.14400
4.390000,34.17900
4.130000,34.20000
4.070000,34.20700
3.850000,34.23800
3.620000,34.26900
3.390000,34.30100
3.180000,34.33000
11.50000,32.84000
11.48000,32.78000
11.48000,32.78100
11.47000,32.79800
11.47000,32.81000
11.47000,32.78200
11.48000,32.70000
11.48000,32.70900
11.45000,32.77000
11.40000,32.79300
10.97000,32.92000
10.71000,32.95000
9.600000,33.10400
8.900000,33.22000
8.620000,33.34200
7.980000,33.69000
7.690000,33.68600
7.110000,33.70600
6.900000,33.73000
6.550000,33.73000
